                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2078,                  1.837,                  1.556,                0.59897,                0.55639,                 0.5777,                0.33158,                  1.465,                 2.0213,                 1.9914,             0.00065116,             0.00065116,             0.00065116
                      2,                 1.3586,                  1.422,                 1.6704,                0.32893,                0.44361,                0.26748,                0.11053,                 2.1054,                 5.3681,                 2.5833,              0.0012743,              0.0012743,              0.0012743
                      3,                 1.4735,                 1.5222,                 1.7442,                0.07295,                0.11278,                0.03084,                0.01062,                 3.4477,                 4.2483,                 3.6736,              0.0018535,              0.0018535,              0.0018535
                      4,                 1.4803,                 1.5578,                 1.7625,                0.20506,                0.25564,                0.14259,                0.05319,                  2.321,                 6.4795,                  2.775,               0.001802,               0.001802,               0.001802
                      5,                 1.4396,                 1.4753,                 1.7679,                0.23914,                0.42105,                0.27334,                0.14548,                 1.6362,                 6.6867,                 2.1807,               0.001736,               0.001736,               0.001736
                      6,                 1.3736,                 1.4096,                 1.6465,                0.59733,                 0.5577,                0.60236,                0.31202,                 1.6558,                 2.2386,                 2.0457,                0.00167,                0.00167,                0.00167
                      7,                 1.3177,                 1.2269,                 1.6047,                 0.6697,                0.54881,                0.62084,                0.30444,                 1.5808,                 1.5456,                 1.9044,               0.001604,               0.001604,               0.001604
                      8,                 1.3296,                 1.2276,                  1.652,                0.66085,                0.48872,                0.57173,                0.30559,                 1.6223,                 1.9261,                 1.9934,               0.001538,               0.001538,               0.001538
                      9,                 1.2718,                 1.1675,                 1.5945,                0.79952,                 0.6597,                0.76576,                0.43225,                 1.4384,                 1.3042,                 1.7909,               0.001472,               0.001472,               0.001472
                     10,                 1.2318,                 1.1257,                 1.5565,                0.75465,                0.67669,                0.73005,                0.40331,                 1.3911,                 1.3908,                 1.7681,               0.001406,               0.001406,               0.001406
                     11,                 1.2078,                 1.0601,                 1.5357,                0.79829,                0.70677,                0.78483,                0.49172,                 1.2876,                  1.084,                  1.692,                0.00134,                0.00134,                0.00134
                     12,                  1.221,                 1.0532,                 1.5245,                0.69155,                0.77545,                0.78442,                 0.4616,                 1.4037,                 1.1783,                 1.8105,               0.001274,               0.001274,               0.001274
